Date,Open,High,Low,Close,Volume
2021-03-25 00:00:00-04:00,300.8042221864616,303.6378911365038,298.3005255349611,302.1239929199219,78729000
2021-03-26 00:00:00-04:00,301.91046681514456,306.976112662343,300.5130748438378,306.6558837890625,63519600
2021-03-29 00:00:00-04:00,306.122274868741,307.6167163293073,303.23038167816503,306.56866455078125,54608000
2021-03-30 00:00:00-04:00,304.60829592576704,305.59812389358433,302.32777943527344,305.02557373046875,44635700
2021-03-31 00:00:00-04:00,306.81121105651914,311.2557682762274,306.4715545684974,309.6933898925781,55032500
2021-04-01 00:00:00-04:00,313.51685851674256,315.10834847578525,313.26453721468926,314.9725036621094,55685600
2021-04-05 00:00:00-04:00,317.4567647947559,322.02748171837067,317.21415729922177,321.2608337402344,42172500
2021-04-06 00:00:00-04:00,320.95038456405575,322.9882642529045,320.2613578123154,321.0377197265625,33537200
2021-04-07 00:00:00-04:00,320.56222355205784,322.64867236045967,319.6306187691433,321.8140869140625,32046400
2021-04-08 00:00:00-04:00,324.6671398645816,325.356137045149,323.8713799573456,325.1717529296875,29940800
2021-04-09 00:00:00-04:00,323.81309460675953,327.34547423273773,323.07558790108754,327.14166259765625,36664900
2021-04-12 00:00:00-04:00,326.10337642585216,327.13203008038977,324.83211521854287,326.7147521972656,25833000
2021-04-13 00:00:00-04:00,328.2382426382964,330.9942603593308,328.0247468478908,330.5284729003906,30374000
2021-04-14 00:00:00-04:00,330.77114230852,330.89730297398444,325.7443209388951,326.5594787597656,42564300
2021-04-15 00:00:00-04:00,329.43190098231787,331.8968016818083,326.278003217147,331.50860595703125,36342800
2021-04-16 00:00:00-04:00,332.032756477623,332.1104074943703,330.0239584356825,331.89691162109375,40860100
2021-04-19 00:00:00-04:00,330.32464204726193,331.47942636192755,326.9378216177111,328.8592834472656,34533100
2021-04-20 00:00:00-04:00,328.1995112420433,329.4804566209722,324.4924607053859,326.4624328613281,38081800
2021-04-21 00:00:00-04:00,325.18141445261983,329.44161675184677,324.0945374930946,329.2572326660156,36598100
2021-04-22 00:00:00-04:00,328.8690668857819,329.8491811367838,324.13336331578,325.2881774902344,45936100
2021-04-23 00:00:00-04:00,325.91894982444245,330.6934492560074,325.91894982444245,329.3833923339844,36381900
2021-04-26 00:00:00-04:00,329.62598057447394,331.80944813703036,328.8787304993542,331.52801513671875,30812000
