Datetime,Open,High,Low,Close,Volume
2024-03-24 21:00:00+00:00,2166.31,2181.41,2163.615,2171.805,124326
2024-03-25 21:00:00+00:00,2171.81,2200.175,2167.625,2178.74,146164
2024-03-26 21:00:00+00:00,2178.735,2197.675,2173.485,2194.86,116976
2024-03-27 21:00:00+00:00,2193.305,2236.33,2187.41,2233.12,162920
2024-03-31 21:00:00+00:00,2239.24,2265.775,2228.54,2251.67,164243
2024-04-01 21:00:00+00:00,2250.03,2281.155,2246.715,2280.815,190222
2024-04-02 21:00:00+00:00,2281.665,2301.27,2265.505,2299.93,209044
2024-04-03 21:00:00+00:00,2300.04,2305.65,2279.725,2291.21,171534
2024-04-04 21:00:00+00:00,2291.61,2330.525,2267.78,2330.16,224815
2024-04-07 21:00:00+00:00,2327.595,2354.155,2302.975,2339.15,257694
2024-04-08 21:00:00+00:00,2337.72,2365.395,2337.27,2352.41,227807
2024-04-09 21:00:00+00:00,2352.965,2360.15,2319.395,2333.865,235447
2024-04-10 21:00:00+00:00,2334.305,2377.755,2325.74,2372.285,217098
2024-04-11 21:00:00+00:00,2373.96,2431.59,2333.88,2344.235,326788
2024-04-14 21:00:00+00:00,2359.435,2387.645,2324.255,2383.51,289786
2024-04-15 21:00:00+00:00,2382.95,2398.38,2363.06,2383.13,314342
2024-04-16 21:00:00+00:00,2383.57,2395.64,2354.73,2361.095,256356
2024-04-17 21:00:00+00:00,2365.395,2392.86,2363.77,2379.05,236138
2024-04-18 21:00:00+00:00,2379.985,2417.92,2372.91,2392.07,322721
2024-04-21 21:00:00+00:00,2384.365,2388.65,2324.67,2327.24,252885
2024-04-22 21:00:00+00:00,2330.32,2334.51,2291.465,2322.13,311812
2024-04-23 21:00:00+00:00,2322.225,2337.385,2311.815,2315.95,244443
2024-04-24 21:00:00+00:00,2317.555,2344.93,2305.025,2332.49,245819
2024-04-25 21:00:00+00:00,2332.285,2352.64,2326.365,2338.05,210507
2024-04-28 21:00:00+00:00,2333.99,2346.83,2319.84,2335.55,214642
2024-04-29 21:00:00+00:00,2336.04,2336.41,2285.22,2286.21,189148
2024-04-30 21:00:00+00:00,2288.38,2328.43,2281.68,2319.56,219369
2024-05-01 21:00:00+00:00,2320.22,2326.515,2285.545,2303.8,222880
2024-05-02 21:00:00+00:00,2305.19,2320.705,2277.345,2301.81,211036
2024-05-05 21:00:00+00:00,2302.08,2332.225,2291.85,2323.995,195677
2024-05-06 21:00:00+00:00,2325.415,2329.98,2310.04,2314.135,185138
2024-05-07 21:00:00+00:00,2315.275,2321.53,2303.745,2308.69,144285
2024-05-08 21:00:00+00:00,2310.255,2347.25,2306.655,2346.245,193325
2024-05-09 21:00:00+00:00,2345.975,2378.56,2345.325,2360.565,208504
2024-05-12 21:00:00+00:00,2361.65,2364.555,2332.11,2336.14,162093
2024-05-13 21:00:00+00:00,2337.385,2359.705,2334.89,2358.035,166195
2024-05-14 21:00:00+00:00,2357.275,2390.315,2351.915,2386.13,205493
2024-05-15 21:00:00+00:00,2387.99,2397.515,2371.01,2376.955,192066
2024-05-16 21:00:00+00:00,2378.075,2422.79,2374.02,2414.715,176052
2024-05-19 21:00:00+00:00,2425.2,2450.125,2407.34,2426.53,224138
2024-05-20 21:00:00+00:00,2427.37,2433.995,2406.16,2421.025,230456
2024-05-21 21:00:00+00:00,2421.23,2426.615,2374.995,2379.175,237558
2024-05-22 21:00:00+00:00,2379.425,2383.785,2327.02,2328.67,276874
2024-05-23 21:00:00+00:00,2329.53,2347.54,2325.465,2334.0,166580
2024-05-26 21:00:00+00:00,2335.835,2358.565,2332.285,2351.375,126705
2024-05-27 21:00:00+00:00,2352.535,2364.175,2340.31,2361.385,189280
2024-05-28 21:00:00+00:00,2361.33,2361.615,2334.54,2338.145,161527
2024-05-29 21:00:00+00:00,2338.695,2351.905,2322.66,2343.34,205118
2024-05-30 21:00:00+00:00,2343.575,2359.725,2320.595,2327.2,203391
2024-06-02 21:00:00+00:00,2328.82,2354.77,2314.795,2350.635,226649
2024-06-03 21:00:00+00:00,2351.435,2352.885,2315.675,2327.01,231071
2024-06-04 21:00:00+00:00,2328.125,2357.425,2325.965,2355.28,190215
2024-06-05 21:00:00+00:00,2355.97,2378.6,2353.5,2376.09,209307
2024-06-06 21:00:00+00:00,2376.445,2387.785,2286.83,2294.155,275498
2024-06-09 21:00:00+00:00,2291.125,2313.865,2287.805,2310.995,150319
2024-06-10 21:00:00+00:00,2310.54,2320.0,2297.8,2316.905,182302
2024-06-11 21:00:00+00:00,2316.685,2341.7,2310.75,2325.03,253456
2024-06-12 21:00:00+00:00,2324.74,2326.795,2295.59,2304.135,232552
2024-06-13 21:00:00+00:00,2303.775,2336.725,2301.605,2332.645,198693
2024-06-16 21:00:00+00:00,2331.23,2331.44,2310.02,2319.285,167115
2024-06-17 21:00:00+00:00,2320.295,2333.165,2306.65,2329.58,169498
2024-06-18 21:00:00+00:00,2329.005,2335.03,2323.78,2328.23,88930
2024-06-19 21:00:00+00:00,2330.075,2365.59,2327.765,2360.12,175642
2024-06-20 21:00:00+00:00,2359.665,2368.765,2316.785,2321.875,180701
2024-06-23 21:00:00+00:00,2321.03,2334.73,2317.775,2334.43,163356
2024-06-24 21:00:00+00:00,2333.945,2337.16,2315.59,2319.595,169421
2024-06-25 21:00:00+00:00,2320.13,2324.015,2293.69,2298.47,187602
2024-06-26 21:00:00+00:00,2298.84,2331.015,2296.61,2327.81,170158
2024-06-27 21:00:00+00:00,2327.105,2339.785,2319.105,2326.705,176722
2024-06-30 21:00:00+00:00,2323.32,2338.545,2318.605,2331.855,164745
2024-07-01 21:00:00+00:00,2331.875,2336.89,2319.13,2329.485,156836
2024-07-02 21:00:00+00:00,2330.335,2364.995,2326.885,2356.16,167602
2024-07-03 21:00:00+00:00,2356.955,2362.6,2350.51,2357.2,89609
2024-07-04 21:00:00+00:00,2357.03,2392.965,2348.62,2391.62,195599
2024-07-07 21:00:00+00:00,2389.41,2391.13,2351.09,2359.26,187976
2024-07-08 21:00:00+00:00,2359.125,2371.625,2349.485,2364.03,181350
2024-07-09 21:00:00+00:00,2363.9,2386.73,2363.15,2371.32,168686
2024-07-10 21:00:00+00:00,2371.93,2424.6,2371.34,2415.375,237015
2024-07-11 21:00:00+00:00,2413.075,2418.31,2391.52,2410.92,210057
2024-07-14 21:00:00+00:00,2411.81,2439.855,2401.405,2422.395,213404
2024-07-15 21:00:00+00:00,2422.08,2469.765,2420.08,2468.93,213594
2024-07-16 21:00:00+00:00,2467.82,2483.74,2451.57,2458.81,262838
2024-07-17 21:00:00+00:00,2458.755,2475.0,2440.415,2445.31,220149
2024-07-18 21:00:00+00:00,2444.495,2445.34,2393.88,2400.82,234446
2024-07-21 21:00:00+00:00,2403.82,2412.255,2383.93,2396.42,208530
2024-07-22 21:00:00+00:00,2397.595,2412.075,2388.31,2409.65,210650
2024-07-23 21:00:00+00:00,2408.785,2432.065,2396.86,2397.395,223357
2024-07-24 21:00:00+00:00,2397.855,2401.31,2353.195,2364.3,306369
2024-07-25 21:00:00+00:00,2364.505,2390.84,2355.875,2387.02,218330
2024-07-28 21:00:00+00:00,2388.395,2403.265,2369.65,2383.79,208280
2024-07-29 21:00:00+00:00,2382.525,2412.935,2376.535,2410.88,212759
2024-07-30 21:00:00+00:00,2410.74,2451.005,2403.94,2447.57,263144
2024-07-31 21:00:00+00:00,2447.77,2462.325,2430.275,2446.385,308308
2024-08-01 21:00:00+00:00,2447.24,2477.725,2410.885,2442.455,361892
2024-08-04 21:00:00+00:00,2441.94,2458.875,2364.39,2409.89,475567
