Date,Open,High,Low,Close,Volume
2021-03-25 00:00:00-04:00,30.417259586843457,30.570747110664104,30.200575775025836,30.50754737854004,3635900
2021-03-26 00:00:00-04:00,30.706173737282622,30.823546144827002,30.453374807919744,30.80548858642578,3876900
2021-03-29 00:00:00-04:00,30.69714911310532,30.823548587804783,30.480461839243826,30.75132179260254,2923000
2021-03-30 00:00:00-04:00,30.588810119719657,30.697152044934256,30.47143769166268,30.624921798706055,3152400
2021-03-31 00:00:00-04:00,30.688119358867233,30.87771855425746,30.661031299435006,30.74228858947754,5485300
2021-04-01 00:00:00-04:00,30.968003217935625,31.274974822998047,30.87771886991078,31.274974822998047,3267800
2021-04-05 00:00:00-04:00,31.401372485100186,31.48262977130833,31.347203257046033,31.392345428466797,2663600
2021-04-06 00:00:00-04:00,31.383314659109097,31.509717559783084,31.311087874279416,31.329145431518555,1871200
2021-04-07 00:00:00-04:00,31.329145431518555,31.383314659109097,31.24788814600586,31.329145431518555,2982200
2021-04-08 00:00:00-04:00,31.410406368966097,31.56389045715332,31.265949338384534,31.56389045715332,3188300
2021-04-09 00:00:00-04:00,31.554866086682015,31.68126556868884,31.4645782823003,31.6632080078125,2748800
2021-04-12 00:00:00-04:00,31.56388812566446,31.69931808863673,31.518745952716046,31.554861068725586,1824800
2021-04-13 00:00:00-04:00,31.690281970174556,31.690281970174556,31.563882530673656,31.67222785949707,2425700
2021-04-14 00:00:00-04:00,31.627082250424106,31.834738964479357,31.609024695620203,31.67222785949707,2579500
2021-04-15 00:00:00-04:00,31.86183018253443,31.888914795366496,31.74445778671754,31.87085723876953,7375000
2021-04-16 00:00:00-04:00,31.988228792386014,32.03337096062653,31.861829343661924,31.943086624145508,1992700
2021-04-19 00:00:00-04:00,31.979199973670237,32.04240314548206,31.60902866403246,31.708343505859375,2806100
2021-04-20 00:00:00-04:00,31.509719800326614,31.554861974570922,31.040233611106103,31.130517959594727,2269600
2021-04-21 00:00:00-04:00,31.094398203223026,31.66319915739144,31.076340647394087,31.6451416015625,3710200
2021-04-22 00:00:00-04:00,31.572918518415864,31.609030190174494,31.347204210321102,31.437488555908203,2994000
2021-04-23 00:00:00-04:00,31.509717683080936,31.69028636792515,31.455545011151536,31.627086639404297,8504300
2021-04-26 00:00:00-04:00,31.70834604612464,31.97920253563475,31.70834604612464,31.952117919921875,1651800
2021-04-27 00:00:00-04:00,31.906978176177365,32.07851982897114,31.843778438615058,31.988235473632812,1590400
2021-04-28 00:00:00-04:00,32.06045919373031,32.593145105035134,32.06045919373031,32.529945373535156,3643000
2021-04-29 00:00:00-04:00,32.69246021899259,32.737602392699046,32.31326182690585,32.50286102294922,5035500
2021-04-30 00:00:00-04:00,32.29520240585052,32.38548674805594,32.11463027731278,32.1507453918457,2092200
2021-05-03 00:00:00-04:00,32.35841396944569,32.47578641254371,32.331329345703125,32.331329345703125,1368700
2021-05-04 00:00:00-04:00,32.168799682574466,32.33131423734342,31.961142961286704,32.27714157104492,1778600
2021-05-05 00:00:00-04:00,32.484804521197255,32.63829204974383,32.38548966933662,32.57509231567383,1720300
2021-05-06 00:00:00-04:00,32.656339362310796,32.8549690246582,32.47577069922386,32.8549690246582,1780400
2021-05-07 00:00:00-04:00,32.90012074958903,33.24320750856603,32.800809333686786,33.23418045043945,1331900
2021-05-10 00:00:00-04:00,33.39669504973764,33.48697940751331,33.20709238780477,33.23418045043945,4237800
2021-05-11 00:00:00-04:00,32.791765916785906,33.10776448867595,32.66536648802989,33.03553771972656,6198200
2021-05-12 00:00:00-04:00,32.95429124991469,33.134863397643784,32.67440424872824,32.70149230957031,2802500
2021-05-13 00:00:00-04:00,32.665383156968936,32.95429726844977,32.52995316040635,32.76469802856445,4005400
2021-05-14 00:00:00-04:00,33.026519618447985,33.3244607178392,33.026519618447985,33.261260986328125,3770600
2021-05-17 00:00:00-04:00,33.16194556550185,33.59531662157287,33.16194556550185,33.5772590637207,1982000
2021-05-18 00:00:00-04:00,33.604350776627236,33.73977730905398,33.45989374222895,33.63143539428711,2488100
2021-05-19 00:00:00-04:00,33.21612245815618,33.45989435393374,32.95429300223279,33.31543731689453,5008300
2021-05-20 00:00:00-04:00,33.39669357832236,33.784919054955004,33.378636018737325,33.71269226074219,4463300
2021-05-21 00:00:00-04:00,33.857148337399686,33.875205896474895,33.5501767213755,33.66754913330078,2578800
2021-05-24 00:00:00-04:00,33.87520583239831,34.00160530155849,33.712691245156016,33.929378509521484,2151700
2021-05-25 00:00:00-04:00,33.92937334508328,33.98354256983405,33.6856015013247,33.70365905761719,1886500
2021-05-26 00:00:00-04:00,33.70366287227413,33.93840424239168,33.69463237104244,33.88423156738281,2269500
2021-05-27 00:00:00-04:00,34.028682410136945,34.21828501617146,34.028682410136945,34.137027740478516,3288800
2021-05-28 00:00:00-04:00,34.1370386473906,34.29052274822353,34.128008144913615,34.19120788574219,1867400
2021-06-01 00:00:00-04:00,34.50720638975317,34.62457535653816,34.38983397884098,34.42594909667969,2687400
2021-06-02 00:00:00-04:00,34.52526352183087,34.52526352183087,34.38983355367367,34.507205963134766,3235900
2021-06-03 00:00:00-04:00,34.23634200964815,34.389829518491766,34.173142283691,34.272457122802734,1751400
2021-06-04 00:00:00-04:00,34.489149517131324,34.516234133985705,34.35371954460487,34.49817657470703,1086300
2021-06-07 00:00:00-04:00,34.498175461723136,34.55234813781144,34.398860610958145,34.507205963134766,1492700
2021-06-08 00:00:00-04:00,34.48914708006365,34.53428925300688,34.362747618171795,34.462059020996094,2070400
2021-06-09 00:00:00-04:00,34.471089253143106,34.498173867872346,34.28149006178443,34.30857467651367,1340400
2021-06-10 00:00:00-04:00,34.393058822627715,34.492986382092994,34.24771059032601,34.40214157104492,1686100
2021-06-11 00:00:00-04:00,34.4384785657516,34.49298545090896,34.31129929909289,34.356719970703125,1612100
2021-06-14 00:00:00-04:00,34.3839714436473,34.51115417480469,34.33855077235006,34.51115417480469,1427400
